Format,Read (ms),Write (ms)
csv,0.0268114880000212,0.03412028000002465
json,0.023485546000301838,0.1590265469994847
protobuf,0.26448029200037126,0.3799482499998703
toml,1.0821034159998817,0.23088265400019736
xml,0.06321200300044438,0.25415203099964856
yaml,6.837314940999931,3.841457187000742
